Packet Length,Malware Indicators,Anomaly Scores,Alerts/Warnings,Proxy Information,Firewall Logs,IDS/IPS Alerts,Protocol_ICMP,Protocol_TCP,Protocol_UDP,Packet Type_Control,Packet Type_Data,Traffic Type_DNS,Traffic Type_FTP,Traffic Type_HTTP,Attack Type_DDoS,Attack Type_Intrusion,Attack Type_Malware,Attack Signature_Known Pattern A,Attack Signature_Known Pattern B,Action Taken_Blocked,Action Taken_Ignored,Action Taken_Logged,Severity Level_High,Severity Level_Low,Severity Level_Medium,Network Segment_Segment A,Network Segment_Segment B,Network Segment_Segment C,Log Source_Firewall,Log Source_Server,Browser,Windows OS,iOS,Linux OS,day_of_week,day_of_week_sin,day_of_week_cos,hour,hour_sin,hour_cos,State
503,1,28.67,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0.7818314824680298,0.6234898018587336,6,1.0,6.123233995736766e-17,Sikkim
1174,1,51.5,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,2,0.9749279121818236,-0.22252093395631434,7,0.9659258262890683,-0.25881904510252063,Nagaland
306,1,87.42,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,6,-0.7818314824680299,0.6234898018587334,8,0.8660254037844387,-0.4999999999999998,Rajasthan
385,0,15.79,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,6,-0.7818314824680299,0.6234898018587334,10,0.49999999999999994,-0.8660254037844387,Rajasthan
1462,0,0.52,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,6,-0.7818314824680299,0.6234898018587334,13,-0.2588190451025208,-0.9659258262890683,Tripura
1423,0,5.76,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,4,-0.433883739117558,-0.9009688679024191,13,-0.2588190451025208,-0.9659258262890683,Meghalaya
379,0,31.55,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0.0,1.0,17,-0.9659258262890683,-0.25881904510252063,Manipur
1022,1,54.05,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,6,-0.7818314824680299,0.6234898018587334,7,0.9659258262890683,-0.25881904510252063,Andhra Pradesh
1281,1,56.34,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0.7818314824680298,0.6234898018587336,11,0.258819045102521,-0.9659258262890682,Tripura
224,0,16.51,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,6,-0.7818314824680299,0.6234898018587334,22,-0.5000000000000004,0.8660254037844384,Mizoram
661,0,24.91,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,2,0.9749279121818236,-0.22252093395631434,13,-0.2588190451025208,-0.9659258262890683,Haryana
281,0,86.07,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,6,-0.7818314824680299,0.6234898018587334,15,-0.7071067811865471,-0.7071067811865479,Mizoram
64,0,74.2,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0.9749279121818236,-0.22252093395631434,21,-0.7071067811865477,0.7071067811865474,Kerala
1341,0,62.14,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,2,0.9749279121818236,-0.22252093395631434,2,0.49999999999999994,0.8660254037844387,Odisha
913,0,72.65,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,2,0.9749279121818236,-0.22252093395631434,13,-0.2588190451025208,-0.9659258262890683,Maharashtra
425,0,91.56,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,4,-0.433883739117558,-0.9009688679024191,20,-0.8660254037844386,0.5000000000000001,Tripura
838,0,43.83,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0.7818314824680298,0.6234898018587336,16,-0.8660254037844384,-0.5000000000000004,Telangana
969,0,40.46,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0.7818314824680298,0.6234898018587336,7,0.9659258262890683,-0.25881904510252063,Mizoram
124,0,44.75,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0.7818314824680298,0.6234898018587336,2,0.49999999999999994,0.8660254037844387,Rajasthan
461,1,13.19,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0.0,1.0,0,0.0,1.0,Uttarakhand
845,0,89.99,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,4,-0.433883739117558,-0.9009688679024191,20,-0.8660254037844386,0.5000000000000001,West Bengal
410,1,86.91,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,4,-0.433883739117558,-0.9009688679024191,14,-0.4999999999999997,-0.8660254037844388,Rajasthan
1425,0,72.25,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,4,-0.433883739117558,-0.9009688679024191,6,1.0,6.123233995736766e-17,Gujarat
118,1,96.27,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,4,-0.433883739117558,-0.9009688679024191,15,-0.7071067811865471,-0.7071067811865479,Chhattisgarh
1386,1,67.43,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,4,-0.433883739117558,-0.9009688679024191,6,1.0,6.123233995736766e-17,Rajasthan
433,0,89.86,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,4,-0.433883739117558,-0.9009688679024191,2,0.49999999999999994,0.8660254037844387,Assam
531,0,87.23,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,6,-0.7818314824680299,0.6234898018587334,3,0.7071067811865475,0.7071067811865476,Andhra Pradesh
282,1,44.4,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,4,-0.433883739117558,-0.9009688679024191,9,0.7071067811865476,-0.7071067811865475,Andhra Pradesh
1487,1,45.42,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,5,-0.9749279121818236,-0.2225209339563146,15,-0.7071067811865471,-0.7071067811865479,Madhya Pradesh
